Number,Name,,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,Ability 1,Ability 2,Ability 3,Quick Guard,Wide Guard,Follow Me,Rage Powder,Ally Switch,Aurora Veil,Thunder Wave,Nuzzle,Will-o-Wisp,Snarl,Struggle Bug,Breaking Swipe,Haze,Tailwind,Trick Room,Electroweb,Icy Wind,Bulldoze,Helping Hand,Reflect,Light Screen,Sucker Punch,Fake Out,Aqua Jet,Shadow Sneak,Vacuum Wave,Quick Attack,E-Speed,Bullet Punch,Ice Shard,Mach Punch,Accelerock,Water Shuriken,Sleep Powder,Spore,Yawn,Taunt,Points
83,Farfetch'd,,Normal,Flying,52,90,55,58,62,60,377,Keen Eye,Inner Focus,Defiant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
083-g,Farfetch'd-Galar,,Fighting,,52,95,55,58,62,55,377,Steadfast,,Scrappy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
84,Doduo,,Normal,Flying,35,85,45,35,35,75,310,Run Away,Early Bird,Tangled Feet,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
85,Dodrio,,Normal,Flying,60,110,70,60,60,110,470,Run Away,Early Bird,Tangled Feet,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
86,Seel,,Water,,65,45,55,45,70,45,325,Thick Fat,Hydration,Ice Body,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5
87,Dewgong,,Water,Ice,90,70,80,70,95,70,475,Thick Fat,Hydration,Ice Body,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5
88,Grimer,,Poison,,80,80,50,40,50,25,325,Stench,Sticky Hold,Poison Touch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5
88-a,Grimer-Alola,,Poison,Dark,80,80,50,40,50,25,325,Poison Touch,Gluttony,Power of Alchemy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5
89,Muk,,Poison,,105,105,75,65,100,50,500,Stench,Sticky Hold,Poison Touch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5
89-a,Muk-Alola,,Poison,Dark,105,105,75,65,100,50,500,Poison Touch,Gluttony,Power of Alchemy,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15
90,Shellder,,Water,,30,65,100,45,25,40,305,Shell Armor,Skill Link,Overcoat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
91,Cloyster,,Water,Ice,50,95,180,85,45,70,525,Shell Armor,Skill Link,Overcoat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
92,Gastly,,Ghost,Poison,30,35,30,100,35,80,310,Levitate,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
93,Haunter,,Ghost,Poison,45,50,45,115,55,95,405,Levitate,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
94,Gengar,,Ghost,Poison,60,65,60,130,75,110,500,Cursed Body,,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
94-m,Mega Gengar,,Ghost,Poison,60,65,80,170,95,130,600,Shadow Tag,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
95,Onix,,Rock,Ground,35,45,160,30,45,70,385,Rock Head,Sturdy,Weak Armor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
96,Drowzee,,Psychic,,60,48,45,43,90,42,328,Insomnia,Forewarn,Inner Focus,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
97,Hypno,,Psychic,,85,73,70,73,115,67,483,Insomnia,Forewarn,Inner Focus,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
98,Krabby,,Water,,30,105,90,25,25,50,325,Hyper Cutter,Shell Armor,Sheer Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
99,Kingler,,Water,,55,130,115,50,50,75,475,Hyper Cutter,Shell Armor,Sheer Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
100,Voltorb,,Electric,,40,30,50,55,55,100,330,Soundproof,Static,Aftermath,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
101,Electrode,,Electric,,60,50,70,80,80,150,490,Soundproof,Static,Aftermath,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
102,Exeggcute,,Grass,Psychic,60,40,80,60,45,40,325,Chlorophyll,,Harvest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
103,Exeggutor,,Grass,Psychic,95,95,85,125,75,55,530,Chlorophyll,,Harvest,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
103-a,Exeggutor-Alola,,Grass,Dragon,95,105,85,125,75,45,530,Frisk,,Harvest,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
104,Cubone,,Ground,,50,50,95,40,50,35,320,Rock Head,Lightning Rod,Battle Armor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
105,Marowak,,Ground,,60,80,110,50,80,45,425,Rock Head,Lightning Rod,Battle Armor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
105-a,Marowak-Alola,,Fire,Ghost,60,80,110,50,80,45,425,Cursed Body,Lightning Rod,Rock Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
106,Hitmonlee,,Fighting,,50,120,53,35,110,87,455,Limber,Reckless,Unburden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,10
107,Hitmonchan,,Fighting,,50,105,79,35,110,76,455,Keen Eye,Iron Fist,Inner Focus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,10
108,Lickitung,,Normal,,90,55,75,60,75,30,385,Own Tempo,Oblivious,Cloud Nine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
109,Koffing,,Poison,,40,65,95,60,45,35,340,Levitate,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
110,Weezing,,Poison,,65,90,120,85,70,60,490,Levitate,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
110-g,Weezing-Galar,,Poison,Fairy,65,90,120,85,70,60,490,Levitate,Neutralizing Gas,Misty Surge,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
111,Rhyhorn,,Ground,Rock,80,85,95,30,30,25,345,Lightning Rod,Rock Head,Reckless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
112,Rhydon,,Ground,Rock,105,130,120,45,45,40,485,Lightning Rod,Rock Head,Reckless,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
113,Chansey,,Normal,,250,5,5,35,105,50,450,Natural Cure,Serene Grace,Healer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
114,Tangela,,Grass,,65,55,115,100,40,60,435,Chlorophyll,Leaf Guard,Regenerator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
115,Kangaskhan,,Normal,,105,95,80,40,80,90,490,Early Bird,Scrappy,Inner Focus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
115-m,Mega Kangaskhan,,Normal,,105,125,100,60,100,100,590,Parental Bond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
116,Horsea,,Water,,30,40,70,70,25,60,295,Swift Swim,Sniper,Damp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
117,Seadra,,Water,,55,65,95,95,45,85,440,Poison Point,Sniper,Damp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
118,Goldeen,,Water,,45,67,60,35,50,63,320,Swift Swim,Water Veil,Lightning Rod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
119,Seaking,,Water,,80,92,65,65,80,68,450,Swift Swim,Water Veil,Lightning Rod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
120,Staryu,,Water,,30,45,55,70,55,85,340,Illuminate,Natural Cure,Analytic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
121,Starmie,,Water,Psychic,60,75,85,100,85,115,520,Illuminate,Natural Cure,Analytic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
122,Mr. Mime,,Psychic,Fairy,40,45,65,100,120,90,460,Soundproof,Filter,Technician,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
122-g,Mr. Mime-Galar,,Ice,Psychic,50,65,65,90,90,100,460,Vital Spirit,Screen Cleaner,Ice Body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
123,Scyther,,Bug,Flying,70,110,80,55,80,105,500,Swarm,Technician,Steadfast,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5
124,Jynx,,Ice,Psychic,65,50,35,115,95,95,455,Oblivious,Forewarn,Dry Skin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
125,Electabuzz,,Electric,,65,83,57,95,85,105,490,Static,,Vital Spirit,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15
126,Magmar,,Fire,,65,95,57,100,85,93,495,Flame Body,,Vital Spirit,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15
127,Pinsir,,Bug,,65,125,100,55,70,85,500,Hyper Cutter,Mold Breaker,Moxie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
127-m,Mega Pinsir,,Bug,Flying,65,155,120,65,90,105,600,Aerilate,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
128,Tauros,,Normal,,75,100,95,40,70,110,490,Intimidate,Anger Point,Sheer Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
129,Magikarp,,Water,,20,10,55,15,20,80,200,Swift Swim,,Rattled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
130,Gyarados,,Water,Flying,95,125,79,60,100,81,540,Intimidate,,Moxie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50
130-m,Mega Gyarados,,Water,Dark,95,155,109,70,130,81,640,Mold Breaker,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
131,Lapras,,Water,Ice,130,85,80,85,95,60,535,Water Absorb,Shell Armor,Hydration,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
132,Ditto,,Normal,,48,48,48,48,48,48,288,Limber,,Imposter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
133,Eevee,,Normal,,55,55,50,45,65,55,325,Run Away,Adaptability,Anticipation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5
134,Vaporeon,,Water,,130,65,60,110,95,65,525,Water Absorb,,Hydration,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10
135,Jolteon,,Electric,,65,65,60,110,95,130,525,Volt Absorb,,Quick Feet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15
136,Flareon,,Fire,,65,130,60,95,110,65,525,Flash Fire,,Guts,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5
137,Porygon,,Normal,,65,60,70,85,75,40,395,Trace,Download,Analytic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
138,Omanyte,,Rock,Water,35,40,100,90,55,35,355,Swift Swim,Shell Armor,Weak Armor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
139,Omastar,,Rock,Water,70,60,125,115,70,55,495,Swift Swim,Shell Armor,Weak Armor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
140,Kabuto,,Rock,Water,30,80,90,55,45,55,355,Swift Swim,Battle Armor,Weak Armor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
141,Kabutops,,Rock,Water,60,115,105,65,70,80,495,Swift Swim,Battle Armor,Weak Armor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
142,Aerodactyl,,Rock,Flying,80,105,65,60,75,130,515,Rock Head,Pressure,Unnerve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
142-m,Mega Aerodactyl,,Rock,Flying,80,135,85,70,95,150,615,Tough Claws,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
143,Snorlax,,Normal,,160,110,65,65,110,30,540,Immunity,Thick Fat,Gluttony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30
144,Articuno,,Ice,Flying,90,85,100,95,125,85,580,Pressure,,Snow Cloak,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
145,Zapdos,,Electric,Flying,90,90,85,125,90,100,580,Pressure,,Static,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
146,Moltres,,Fire,Flying,90,100,90,125,85,90,580,Pressure,,Flame Body,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
147,Dratini,,Dragon,,41,64,45,50,50,50,300,Shed Skin,,Marvel Scale,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5
148,Dragonair,,Dragon,,61,84,65,70,70,70,420,Shed Skin,,Marvel Scale,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5
149,Dragonite,,Dragon,Flying,91,134,95,100,100,80,600,Inner Focus,,Multiscale,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,60
150,Mewtwo,,Psychic,,106,110,90,154,90,130,680,Pressure,,Unnerve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
150-mx,Mega Mewtwo X,,Psychic,Fighting,106,190,100,154,100,130,780,Steadfast,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
150-my,Mega Mewtwo Y,,Psychic,,106,150,70,194,120,140,780,Insomnia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
151,Mew,,Psychic,,100,100,100,100,100,100,600,Synchronize,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
152,Chikorita,,Grass,,45,49,65,49,65,45,318,Overgrow,,Leaf Guard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
153,Bayleef,,Grass,,60,62,80,63,80,60,405,Overgrow,,Leaf Guard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
154,Meganium,,Grass,,80,82,100,83,100,80,525,Overgrow,,Leaf Guard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
155,Cyndaquil,,Fire,,39,52,43,60,50,65,309,Blaze,,Flash Fire,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
156,Quilava,,Fire,,58,64,58,80,65,80,405,Blaze,,Flash Fire,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
157,Typhlosion,,Fire,,78,84,78,109,85,100,534,Blaze,,Flash Fire,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10
158,Totodile,,Water,,50,65,64,44,48,43,314,Torrent,,Sheer Force,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
159,Croconaw,,Water,,65,80,80,59,63,58,405,Torrent,,Sheer Force,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
160,Feraligatr,,Water,,85,105,100,79,83,78,530,Torrent,,Sheer Force,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
161,Sentret,,Normal,,35,46,34,35,45,20,215,Run Away,Keen Eye,Frisk,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
162,Furret,,Normal,,85,76,64,45,55,90,415,Run Away,Keen Eye,Frisk,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
163,Hoothoot,,Normal,Flying,60,30,30,36,56,50,262,Insomnia,Keen Eye,Tinted Lens,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
164,Noctowl,,Normal,Flying,100,50,50,86,96,70,452,Insomnia,Keen Eye,Tinted Lens,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
165,Ledyba,,Bug,Flying,40,20,30,40,80,55,265,Swarm,Early Bird,Rattled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
166,Ledian,,Bug,Flying,55,35,50,55,110,85,390,Swarm,Early Bird,Iron Fist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
167,Spinarak,,Bug,Poison,40,60,40,40,40,30,250,Swarm,Insomnia,Sniper,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
168,Ariados,,Bug,Poison,70,90,70,60,70,40,400,Swarm,Insomnia,Sniper,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
169,Crobat,,Poison,Flying,85,90,80,70,80,130,535,Inner Focus,,Infiltrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
170,Chinchou,,Water,Electric,75,38,38,56,56,67,330,Volt Absorb,Illuminate,Water Absorb,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
171,Lanturn,,Water,Electric,125,58,58,76,76,67,460,Volt Absorb,Illuminate,Water Absorb,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
172,Pichu,,Electric,,20,40,15,35,35,60,205,Static,,Lightning Rod,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
173,Cleffa,,Fairy,,50,25,28,45,55,15,218,Cute Charm,Magic Guard,Friend Guard,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
174,Igglybuff,,Normal,Fairy,90,30,15,40,20,15,210,Cute Charm,Competitive,Friend Guard,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
175,Togepi,,Fairy,,35,20,65,40,65,20,245,Hustle,Serene Grace,Super Luck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
176,Togetic,,Fairy,Flying,55,40,85,80,105,40,405,Hustle,Serene Grace,Super Luck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
177,Natu,,Psychic,Flying,40,50,45,70,45,70,320,Synchronize,Early Bird,Magic Bounce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
178,Xatu,,Psychic,Flying,65,75,70,95,70,95,470,Synchronize,Early Bird,Magic Bounce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
179,Mareep,,Electric,,55,40,40,65,45,35,280,Static,,Plus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
